,symbol,name,price,volume_24,perc_change_24h,market_cap,perc_change_1h,volume_24h
227,BCHA,Bitcoin Cash ABC,21.12254449279644,,9.94777323,392307350.18369335,0.0287691,3685345.93129143
228,HEDG,HedgeTrade,1.08039416683719,,2.71056307,376767444.2251052,0.85566096,138772.73346048
229,MIR,Mirror Protocol,4.88355788731308,,1.94090564,345461708.98054075,-0.16288807,16009942.09923385
230,HNC,Hellenic Coin,4.3548366610665,,6.81163736,304449670.65114844,-0.10097786,297711.97196371
231,AXS,Axie Infinity,4.68046122295034,,0.71136678,285075191.93684787,0.53903502,21330564.44454351
232,TKO,Toko Token,2.36934526218185,,19.97452061,257073960.94673073,-1.42744154,113155372.59350017
233,RAY,Raydium,5.22943072419709,,6.53799113,258552751.0326489,-0.37928945,13277791.17997671
234,SUSD,sUSD,1.00634671033689,,-0.1957761,254193732.81307492,-0.04863527,59887113.96234936
235,XIN,Mixin,452.75396150680973,,0.24282454,253798271.86284727,-0.07148962,24456.64120871
236,SOLO,Sologenic,1.2691222273292,,-1.27565876,253826740.038827,-0.0775704,912751.7910055
237,PERP,Perpetual Protocol,11.28377160374899,,41.20998087,245935502.99372414,-0.80228122,37677263.72654283
238,ALCX,Alchemix,809.7869822051306,,7.5707106,229714690.31506065,-0.1174465,1716448.09930944
239,TRIBE,Tribe,0.91209152492338,,0.95672894,226531064.3326803,-0.10705063,8558967.76956247
240,DAWN,Dawn Protocol,3.36197797456835,,-1.01576858,223060284.82468325,-0.92425975,145653.95004012
241,KSP,KLAYswap Protocol,28.45388301368115,,-0.74386706,221497801.1719672,0.20496164,4793858.69515582
242,KLV,Klever,0.06400874177115,,1.99754078,217477110.8446974,-0.59938989,3100792.83108368
243,AGI,SingularityNET,0.25028249784084,,3.59613441,217034155.5919035,-0.08852191,297.45655009
244,SYBC,SYB Coin,17.65496116102195,,31.68971512,212643015.64600527,-1.22808247,13557.88477243
245,XPRT,Persistence,11.27335515608459,,2.05233109,210182531.37021378,0.76481987,995923.62529135
246,ORN,Orion Protocol,7.93815735910898,,5.47571626,203018374.45921218,-0.52910097,4945496.93476276
247,MVL,MVL,0.0157373705918,,16.52920901,202592873.21743625,-0.01443064,16620.58924923
248,YOUC,yOUcash,0.05443133461447,,-3.95461893,200035922.38277104,-0.14185731,31855.75119339
249,AKT,Akash Network,3.26950055955073,,5.66454841,201088422.9443715,3.60352992,1401765.20881003
250,ANC,Anchor Protocol,2.7413927075971,,1.31854124,184377708.81827232,-0.39736573,4368612.67388688
251,TLM,Alien Worlds,0.20206384886491,,5.02470145,184692494.59276012,0.52035508,25465205.82249169
252,TITAN,TitanSwap,3.38041237236434,,3.06755687,180528083.1997248,-0.65557928,6033805.79196312
253,ETN,Electroneum,0.01013504753224,,11.98331071,181101574.19139525,1.20638233,622257.73443447
254,MATH,MATH,1.5032664410674,,0.42189254,171907783.7305306,-0.20734299,361462.83884768
255,REV,RChain,0.33898842441144,,-3.15075342,163640953.80089527,0.81368851,478919.42561528
256,LINA,Linear,0.04451497604598,,7.46372871,163061322.09904787,0.20059273,18784877.9650636
257,DRS,Doctors Coin,0.71738363618651,,24.55170808,164812866.54345763,2.76923473,247407.94799344
258,NWC,Newscrypto,0.99163276551474,,5.21303854,157067956.59709463,-1.05453177,13060529.12894732
259,vBTC,Venus BTC,761.3272051838438,,5.08907336,156708546.60622168,-0.06679249,0.0
260,RPL,Rocket Pool,15.18182842085298,,0.94943139,156065285.39084265,0.2329196,3127376.22323169
261,C20,CRYPTO20,3.8153248291765,,6.72616569,152091987.35227895,-0.45869474,98570.74784485
262,RFOX,RedFOX Labs,0.11586700172836,,2.15408762,152017594.32652962,-0.04795171,1260961.37571653
263,FORTH,Ampleforth Governance Token,22.01804562326736,,0.13040725,151540128.8936221,-1.70391044,13623925.45488779
264,vXVS,Venus XVS,0.65752750418123,,3.8698634,147571478.55884734,-0.66954939,0.0
265,KEEP,Keep Network,0.28326212540828,,11.80356187,145362472.7365205,0.70174819,3430015.26371268
266,GNY,GNY,0.7468429729187,,8.48439671,143675154.43404105,-0.10926204,330581.93135459
267,MLN,Enzyme,80.0316462705251,,1.25008037,143475743.5580385,-2.18714018,5204024.4656636
268,ELF,aelf,0.26095302212786,,5.59107697,142083753.67524984,0.28062776,11040296.26132244
269,SYS,Syscoin,0.23097634923167,,2.90322188,141586624.80415142,-0.5328779,1814684.42262176
270,RDD,ReddCoin,0.00488428493239,,14.4528889,140709963.67628098,-0.10932876,440577.29537211
271,PPT,Populous,2.61451808381512,,4.84146957,139228960.15610301,1.82207563,3789737.76882652
272,MARO,Maro,0.27380117309544,,0.55184625,132492729.92467085,-2.2664108,5610.49825436
273,META,Metadium,0.11122621021178,,2.50626436,138524492.78125343,-0.28079544,350822.52549373
274,LYXe,LUKSO,9.2909609793037,,11.84014412,138861919.65094924,0.88235115,2399515.16639245
